,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price,neighborhood2
98,3,1,22,92,Williamsburg,1248,0.0,115,71
99,4,1,22,92,Williamsburg,1248,0.0,115,71
100,5,1,22,92,Williamsburg,1248,0.0,115,71
101,6,1,22,92,Williamsburg,1248,0.0,115,71
102,7,1,22,92,Williamsburg,1248,0.0,115,71
103,8,1,22,92,Williamsburg,1248,0.0,115,71
104,9,1,22,92,Williamsburg,1248,0.0,115,71
105,10,1,22,92,Williamsburg,1248,100.0,115,71
106,11,1,22,92,Williamsburg,1248,76.67,115,71
107,12,1,22,92,Williamsburg,1248,61.29,115,71
108,1,1,99,93,Williamsburg,1248,16.13,100,71
109,2,1,99,93,Williamsburg,1248,48.28,80,71
110,3,1,99,93,Williamsburg,1248,67.74,100,71
111,4,1,99,93,Williamsburg,1248,96.67,100,71
112,5,1,99,93,Williamsburg,1248,100.0,100,71
113,6,1,99,93,Williamsburg,1248,76.67,100,71
114,7,1,99,93,Williamsburg,1248,90.32,100,71
115,8,1,99,93,Williamsburg,1248,93.55,100,71
116,9,1,99,93,Williamsburg,1248,80.0,100,71
117,10,1,99,93,Williamsburg,1248,83.87,100,71
118,11,1,99,93,Williamsburg,1248,73.33,100,71
119,12,1,99,93,Williamsburg,1248,23.33,100,71
120,1,1,49,92,Williamsburg,1248,61.29,145,71
121,2,1,49,92,Williamsburg,1248,62.07,148,71
122,3,1,49,92,Williamsburg,1248,0.0,105,71
123,4,1,49,92,Williamsburg,1248,40.0,137,71
124,5,1,49,92,Williamsburg,1248,67.74,105,71
125,6,1,49,92,Williamsburg,1248,63.33,165,71
126,7,1,49,92,Williamsburg,1248,51.61,74,71
127,8,1,49,92,Williamsburg,1248,0.0,165,71
128,9,1,49,92,Williamsburg,1248,46.67,159,71
129,10,1,49,92,Williamsburg,1248,96.77,105,71
130,11,1,49,92,Williamsburg,1248,100.0,105,71
131,12,1,49,92,Williamsburg,1248,100.0,105,71
132,1,1,74,96,Williamsburg,1248,77.42,169,71
133,2,1,74,96,Williamsburg,1248,100.0,169,71
134,3,1,74,96,Williamsburg,1248,100.0,169,71
135,4,1,74,96,Williamsburg,1248,100.0,169,71
136,5,1,74,96,Williamsburg,1248,100.0,169,71
137,6,1,74,96,Williamsburg,1248,73.33,169,71
138,7,1,74,96,Williamsburg,1248,90.32,169,71
139,8,1,74,96,Williamsburg,1248,58.06,169,71
140,9,1,74,96,Williamsburg,1248,70.0,169,71
141,10,1,74,96,Williamsburg,1248,87.1,169,71
142,11,1,74,96,Williamsburg,1248,33.33,169,71
143,12,1,74,96,Williamsburg,1248,-3.33,169,71
144,1,1,11,93,Williamsburg,1248,80.65,142,71
145,2,1,11,93,Williamsburg,1248,62.07,175,71
146,3,1,11,93,Williamsburg,1248,0.0,142,71
147,4,1,11,93,Williamsburg,1248,100.0,142,71
148,5,1,11,93,Williamsburg,1248,100.0,142,71
149,6,1,11,93,Williamsburg,1248,86.67,150,71
150,7,1,11,93,Williamsburg,1248,90.32,150,71
151,8,1,11,93,Williamsburg,1248,100.0,150,71
152,9,1,11,93,Williamsburg,1248,50.0,75,71
153,10,1,11,93,Williamsburg,1248,80.65,150,71
154,11,1,11,93,Williamsburg,1248,40.0,134,71
155,12,1,11,93,Williamsburg,1248,-3.33,160,71
156,1,1,19,95,Williamsburg,1248,0.0,150,71
157,2,1,19,95,Williamsburg,1248,3.45,180,71
158,1,1,115,97,Williamsburg,1248,16.67,165,71
159,2,1,115,97,Williamsburg,1248,48.28,145,71
160,3,1,115,97,Williamsburg,1248,0.0,225,71
161,4,1,115,97,Williamsburg,1248,30.0,245,71
162,5,1,115,97,Williamsburg,1248,25.81,295,71
163,6,1,115,97,Williamsburg,1248,43.33,225,71
164,7,1,115,97,Williamsburg,1248,35.48,145,71
165,8,1,115,97,Williamsburg,1248,19.35,225,71
166,9,1,115,97,Williamsburg,1248,0.0,285,71
167,10,1,115,97,Williamsburg,1248,87.1,225,71
168,11,1,115,97,Williamsburg,1248,0.0,230,71
169,12,1,115,97,Williamsburg,1248,0.0,249,71
